Language,Phonemes
Kaapor,"['h', 'j', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'w', 'ŋ', 'ŋʷ', 'ɾ', 'ʃ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ']"
Kaiwá,"['d̠ʒ', 'h', 'j', 'k', 'm', 'p', 's', 't', 'w', 'ŋ', 'ŋʷ', 'ɾ', 'ʃ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Kamayurá,"['h', 'hʷ', 'j', 'k', 'kʷ', 'm', 'n', 'p', 't', 'ts', 'w', 'ŋ', 'ɾ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Karitiâna,"['h', 'k', 'm', 'n', 'p', 's', 't', 'w', 'ŋ', 'ɲ', 'ɾ', 'a', 'aː', 'ã', 'ãː', 'e', 'eː', 'ẽ', 'ẽː', 'i', 'iː', 'ĩ', 'ĩː', 'o', 'oː', 'õ', 'õː', 'ɨ', 'ɨː', 'ɨ̃', 'ɨ̃ː']"
Kayabí,"['j', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'w', 'ŋ', 'ɡ', 'ɸ', 'ɾ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Kuruáya,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'w', 'ð', 'ŋ', 'ɾ', 'ʃ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'ɔ', 'ɨ']"
Makuráp,"['j', 'k', 'm', 'n', 'p', 't', 't̠ʃ', 'w', 'ŋ', 'ɾ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'ɨ', 'ɨ̃']"
Mundurukú,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'w', 'ŋ', 'ɾ', 'ʃ', 'ʔ', 'a', 'ã', 'a̰', 'ã̰', 'e', 'ẽ', 'ḛ', 'ḛ̃', 'i', 'ĩ', 'ḭ', 'ḭ̃', 'o', 'õ', 'o̰', 'õ̰', 'ə', 'ə̃', 'ə̰', 'ə̰̃']"
Nheengatú,"['b', 'c', 'j', 'j̃', 'k', 'kʷ', 'm', 'mb', 'n', 'nd', 'p', 's', 't', 'w', 'ŋɡ', 'ɡ', 'ɾ', 'ʃ', 'ʔ', 'a', 'e', 'i', 'u']"
Omagua,"['j', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'ts', 't̠ʃ', 'w', 'ɾ', 'ʃ', 'a', 'i', 'u', 'ɨ', 'ɪ']"
Pai Tavytera,"['h', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'w', 'ŋ', 'ŋʷ', 'ɲ', 'ɾ', 'ʃ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Parakanã,"['h', 'k', 'kʷ', 'm', 'n', 'p', 't', 't̠ʃ', 'ŋ', 'ɾ', 'ʔ', 'β', 'a', 'e', 'i', 'o', 'ɨ']"
Sakirabiá,"['h', 'j', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'ts', 'ŋ', 'ŋʷ', 'ɡ', 'ɲ', 'ɾ', 'β', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Sateré-Mawé,"['h', 'j', 'k', 'm', 'n', 'p', 's', 't', 'w', 'ŋ', 'ɾ', 'ʔ', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩ', 'o', 'u', 'uː', 'ũ', 'ɨ', 'ɨː']"
Suruí,"['b', 'd', 'd̠ʒ', 'j', 'k', 'l', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'w', 'ŋ', 'ɡ', 'ɲ', 'ɾ', 'ʃ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'ɨ', 'ɨ̃']"
Tapieté,"['d̠ʒ', 'h', 'k', 'kʷ', 'mb', 'nd', 'p', 's', 't', 't̠ʃ', 'w', 'ŋɡ', 'ɾ', 'ʃ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Tapirapé,"['h', 'j', 'k', 'kʷ', 'm', 'n', 'p', 't', 't̠ʃ', 'w', 'ŋ', 'ɾ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'ɨ', 'ɨ̃']"
Tembé,"['d', 'h', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'w', 'ŋ', 'ŋʷ', 'ɾ', 'ʔ', 'a', 'e', 'i', 'o', 'u', 'ə', 'ɨ']"
Tenharim,"['h', 'k', 'kʷ', 'm', 'n', 'p', 't', 't̠ʃ', 'ŋ', 'ŋʷ', 'ɲ', 'ɾ', 'ʔ', 'β', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Tuparí,"['b', 'h', 'j', 'k', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'w', 'ŋ', 'ɾ', 'ʔ', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩ', 'o', 'oː', 'õ', 'ɨ', 'ɨː', 'ɨ̃']"
Tupinambá,"['b', 'j', 'k', 'm', 'n', 'p', 's', 't', 'w', 'ɲ', 'ɾ', 'ʃ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Uru-Eu-Wau-Wau,"['h', 'k', 'kʷ', 'm', 'n', 'p', 't', 't̠ʃ', 'ŋ', 'ŋʷ', 'ɲ', 'ɾ', 'ʔ', 'β', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Wayampi,"['h', 'j', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'w', 'ŋ', 'ŋʷ', 'ɾ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'u', 'ũ', 'ɨ', 'ɨ̃', 'β', 'õ']"
Xetá,"['d̠ʒ', 'h', 'j', 'k', 'm', 'n', 'p', 't', 't̠ʃ', 'w', 'ŋ', 'ɾ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ɨ', 'ɨ̃']"
Xipaya,"['b', 'd', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 's', 't', 'w', 'z', 'ʃ', 'a', 'ã', 'e', 'i', 'ĩ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Zo'é,"['b', 'd', 'h', 'j', 'k', 'kʷ', 'p', 's', 't', 't̠ʃ', 'w', 'ɡ', 'ɾ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'u', 'ũ', 'ɔ', 'ɔ̃', 'ɨ', 'ɨ̃']"
Sirionó,"['b', 'h', 'j', 'k', 'kʲ', 'kʷ', 'm', 'n', 'n̥', 'p', 's', 't', 't̠ʃ', 'w', 'ŋ', 'ɲ', 'ɾ', 'ʃ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
Yuqui,"['b', 'd', 'k', 'kʲ', 'kʷ', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'x', 'xʲ', 'xʷ', 'ɡ', 'ɡʷ', 'ɲ', 'ɾ', 'ʔ', 'ʝ', 'a', 'aː', 'ã', 'ãː', 'e', 'eː', 'ẽ', 'ẽː', 'i', 'iː', 'ĩ', 'ĩː', 'o', 'oː', 'õ', 'õː', 'u', 'uː', 'ũ', 'ũː']"
Aikanã,"['b', 'd', 'j', 'k', 'm', 'n', 'p', 't', 'ts', 'tx', 'w', 'ð̞', 'ɲ', 'ɾ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'u', 'ũ', 'y']"
Arára do Mato Grosso,"['b', 'd', 'd̠ʒ', 'f', 'j', 'k', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'w', 'x', 'ŋ', 'ɡ', 'ɲ', 'ɾ', 'ʃ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɔ', 'ɛ', 'ɨ', 'ɨ̃']"
Hoti,"['b', 'c', 'd', 'h', 'j', 'k', 'kʷ', 't', 'w', 'ɟ', 'ɾ', 'ʰc', 'ʰk', 'ʰkʷ', 'ʰt', 'ʱb', 'ʱd', 'ʱj', 'ʱw', 'ʱɟ', 'ʱɾ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɘ', 'ə̃ː', 'ɨ', 'ɨ̃']"
Kanoé,"['j', 'k', 'm', 'n', 'p', 't', 'ts', 'w', 'x', 'ɲ', 'ɾ', 'β', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'æ', 'æ̃', 'ɨ', 'ɨ̃']"
Karirí-Xocó,"['b', 'd', 'dz', 'h', 'k', 'l', 'm', 'n', 'p', 't', 'ts', 'ɡ', 'ɲ', 'ɾ', 'a', 'e', 'i', 'o', 'u', 'œ', 'ɨ']"
Kunza,"['b', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n', 'p', 'pʼ', 'q', 'qʼ', 's', 't', 'ts', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'x', 'ɣ', 'ɾ', 'ʔ', 'χ', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Pumé,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'kʰ', 'm', 'n', 'p', 'pʰ', 't', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'ŋ', 'ɡ', 'ɣ', 'ɲ', 'ɾ', 'ɾ̃', 'ʔ', 'β', 'a', 'ã', 'e', 'i', 'ĩ', 'o', 'u', 'ũ', 'ɔ', 'ɔ̃', 'ɛ', 'ɛ̃', 'ɤ', 'ɯ', 'ɯ̃']"
Chipaya,"['j', 'k', 'kʰ', 'kʷ', 'kʼ', 'l', 'm', 'n', 'p', 'pʰ', 'pʼ', 'q', 'qʰ', 'qʷ', 'qʼ', 's', 's̪', 't', 'ts', 'tsʰ', 'tsʼ', 'tʰ', 'tʼ', 't̠ʃ', 't̠ʃʰ', 't̠ʃʼ', 'w', 'x', 'xʷ', 'ŋ', 'ɬ', 'ɲ', 'ɾ', 'ʂ', 'ʃ', 'ʈʂ', 'ʈʂʰ', 'ʈʂʼ', 'ʎ', 'χ', 'χʷ', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Uru,"['b', 'c', 'j', 'k', 'kʷ', 'kʼ', 'm', 'n', 'p', 'pʼ', 'q', 'qʼ', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'x', 'ɲ', 'ɾ', 'ʃ', 'ʎ', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
"Huitoto, Minica","['b', 'd', 'd̠ʒ', 'k', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'x', 'ŋ', 'ɡ', 'ɲ', 'ɸ', 'ɾ', 'ʔ', 'β', 'a', 'e', 'i', 'o', 'u', 'ɨ']"
"Huitoto, Murui","['b', 'c', 'd', 'k', 'm', 'n', 't', 'ɟ', 'ɡ', 'ɲ', 'ɸ', 'ɾ', 'β', 'θ', 'a', 'e', 'i', 'o', 'u', 'ɨ']"
Nonuya,"['b', 'd', 'dz', 'd̠ʒ', 'h', 'k', 'm', 'n', 'p', 't', 'ts', 'tʲ', 't̠ʃ', 'ɡ', 'ɲ', 'ɸ', 'ɾ', 'ʃ', 'ʔ', 'β', 'a', 'e', 'i', 'o', 'u', 'ɨ']"
Ninam,"['h', 'k', 'm', 'n', 'p', 's', 't', 'ts', 'tʰ', 'w', 'ɾ', 'ʃ', 'a', 'e', 'i', 'o', 'ə', 'ɯ']"
Sanumá,"['h', 'k', 'l', 'm', 'n', 'p', 's', 't', 'ts', 'tʰ', 'w', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ə', 'ɨ', 'ɨ̃']"
Yanomámi,"['f', 'h', 'j', 'k', 'm', 'n', 'p', 's', 't', 'tʰ', 'w', 'ɾ', 'ʃ', 'a', 'e', 'i', 'o', 'u', 'ə', 'ɨ']"
Yanomamö,"['h', 'j', 'k', 'm', 'n', 'p', 's', 't', 'tʰ', 'w', 'ɾ', 'ʃ', 'a', 'e', 'i', 'o', 'u', 'ə', 'ɨ']"
Chamacoco,"['b', 'd', 'd̠ʒ', 'h', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't', 't̠ʃ', 'w', 'z', 'ɡ', 'ɣ', 'ɹ', 'ʃ', 'ʒ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'u', 'ũ', 'ɑ', 'ɔ', 'ɔ̃', 'ə', 'ɨ', 'ɨ̃', 'ɪ', 'ɪ̃']"
Ayoreo,"['b', 'd', 'h', 'j', 'k', 'm', 'm̥', 'n', 'n̥', 'p', 's', 't', 't̠ʃ', 'w', 'ŋ', 'ɡ', 'ɲ', 'ɲ̥', 'ɾ', 'ʔ', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ']"
Andoa,"['h', 'j', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'ts', 't̠ʃ', 'w', 'ɾ', 'ʃ', 'ʔ', 'a', 'aː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ɨ', 'ɨː']"
Arabela,"['h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʷ', 'm', 'mʲ', 'n', 'nʲ', 'p', 's', 't', 'tʲ', 'w', 'ɾ', 'ɾʲ', 'ʃ', 'a', 'aː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ɪ', 'ɪː']"
Iquito,"['h', 'j', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'w', 'ɾ', 'a', 'aː', 'i', 'iː', 'u', 'uː', 'ɨ', 'ɨː']"
Záparo,"['h', 'j', 'k', 'kʷ', 'm', 'n', 'p', 's', 't', 'ts', 'w', 'ɾ', 'ʃ', 'ʔ', 'a', 'aː', 'i', 'iː', 'u', 'uː', 'ɨ', 'ɨː']"
Nhandeva,"['d̠ʒ', 'j', 'k', 'kʷ', 'mb', 'nd', 'p', 't', 'ts', 't̠ʃ', 'w', 'ŋɡ', 'ɡ', 'ɡʷ', 'ɰ', 'ɾ', 'ʔ', 'a', 'ã', 'i', 'ĩ', 'u', 'ũ', 'ɔ', 'ɔ̃', 'ɛ', 'ɛ̃', 'ɨ', 'ɨ̃']"
Pisamira,"['b', 'd', 'h', 'k', 'p', 't', 't̠ʃ', 'ɡ', 'ɰ', 'ʝ', 'β', 'a', 'e', 'i', 'o', 'u', 'ɨ']"
Alacalufe,"['f', 'h', 'j', 'k', 'kʼ', 'l', 'n', 'p', 'pʼ', 'q', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'ɬ', 'ɾ', 'a', 'e', 'i', 'o', 'u', 'æ']"
Yanomama of Papiu,"['h', 'j', 'k', 'm', 'n', 'p', 's', 't', 'tʰ', 'w', 'ɾ', 'ʃ', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩː', 'o', 'oː', 'õ', 'u', 'uː', 'ũ', 'ə', 'əː', 'ə̃', 'ɨ', 'ɨː', 'ɨ̃']"
Yanomae of Demini/Tototopi,"['h', 'hʷ', 'j', 'k', 'm', 'n', 'p', 's', 't', 'tʰ', 'w', 'ɾ', 'ʃ', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩː', 'o', 'oː', 'õ', 'u', 'uː', 'ũ', 'ə', 'əː', 'ə̃', 'ɨ', 'ɨː', 'ɨ̃']"
Sanömá of Kolulu,"['h', 'k', 'l', 'm', 'n', 'p', 's', 't', 'tʰ', 'w', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩː', 'o', 'oː', 'õ', 'u', 'uː', 'ũ', 'ə', 'əː', 'ə̃', 'ɨ', 'ɨː', 'ɨ̃']"
Yanomamɨ of Parawau,"['h', 'j', 'k', 'm', 'n', 'p', 's', 't', 'w', 'ɾ', 'ʃ', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩː', 'o', 'oː', 'õ', 'u', 'uː', 'ũ', 'ə', 'əː', 'ə̃', 'ɨ', 'ɨː', 'ɨ̃']"
Yãroamë of Serra do Pacu/Ajarani,"['h', 'k', 'm', 'n', 'p', 't', 't̠ʃ', 'w', 'x', 'ɲ', 'ɾ', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩː', 'o', 'oː', 'õ', 'u', 'uː', 'ũ', 'ə', 'əː', 'ə̃']"
Yanomamɨ of Venezuela,"['h', 'j', 'k', 'm', 'n', 'p', 's', 't', 'tʰ', 'w', 'ɾ', 'ʃ', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩː', 'o', 'oː', 'õ', 'u', 'uː', 'ũ', 'ə', 'əː', 'ə̃', 'ɨ', 'ɨː', 'ɨ̃']"
Pacahuara,"['h', 'j', 'k', 'm', 'n', 'p', 's', 't', 'ts', 't̠ʃ', 'w', 'ɾ', 'ʂ', 'ʃ', 'ʔ', 'β', 'a', 'i', 'o', 'ɨ']"
Yukpa,"['d', 'h', 'j', 'k', 'm', 'n', 'p', 't', 't̠ʃ', 'w', 'ɣ', 'ɲ', 'ɾ', 'ʃ', 'β', 'a', 'i', 'u', 'ɔ', 'ɛ', 'ɨ', 's', 'ʋ', 'ʔ', 'e', 'o']"
Trinitario,"['c', 'j', 'k', 'm', 'n', 'p', 's', 't', 'ts', 'tʲ', 't̠ʃ', 'w', 'x', 'ç', 'ɲ', 'ɾ', 'ʔ', 'β', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'æ', 'æː']"
Arabic,"['b', 'd̙ˤ', 'd̪', 'd̪ʒ', 'f', 'h', 'j', 'kʰ', 'l', 'lˤ', 'm', 'n̪', 'q', 'r', 's', 's̙ˤ', 't̪ʰ', 't̪̙ˤ', 'w', 'xʀ̥', 'z', 'ð̪', 'ð̪̙ˤ', 'ħ', 'ɣ', 'ʃ', 'ʔ', 'ʕ̙', 'θ̪', 'a', 'ai', 'au', 'aː', 'i', 'ii̯', 'u', 'uu̯']"
"Arrernte, Central","['bm', 'dn', 'd̪n̪', 'j', 'k', 'kŋ', 'l', 'lʲ', 'l̪', 'm', 'n', 'n̪', 'p', 't', 'tʲ', 't̪', 'w', 'ŋ', 'ȵ', 'ȶȵ', 'ɖɳ', 'ɭ', 'ɰ', 'ɳ', 'ɻ', 'ɾ', 'ʈ', 'a', 'i', 'u', 'ə']"
Bardi,"['c̻', 'j', 'j̻', 'k', 'l', 'm', 'n', 'p', 'r', 't', 'w', 'ŋ', 'ɭ̺', 'ɲ̻', 'ɳ̺', 'ɻ̺', 'ʈ̺', 'ʎ̻', 'a', 'aː', 'i', 'iː', 'o', 'u', 'uː', 'ȴ', 'ȵ', 'ȶ', 'ɭ', 'ɳ', 'ɻ', 'ʈ']"
Hakka Chinese,"['c', 'cʰ', 'f', 'h', 'j', 'k', 'kʰ', 'kʷ', 'kʷʰ', 'l', 'm', 'm̩', 'n', 'n̩', 'p', 'pʰ', 's', 't', 'ts', 'tsʰ', 'tʰ', 'ç', 'ŋ', 'ɲ', 'ɹ̩', 'ʋ', '˥˩', '˦', '˧', '˧˩', '˨', 'ä', 'äi', 'äu̽', 'e̞', 'e̞u', 'i', 'iäu̽', 'iu', 'iɔ̽', 'i̞ä', 'i̞e̞', 'u', 'u̽i', 'ɔ̽', 'ɔ̽i', 'ə', 'a', 'ai', 'au', 'e', 'eu', 'ia', 'iau', 'ie', 'iɔ', 'ui', 'ɔ', 'ɔi']"
Chinese,"['f', 'h', 'j', 'k', 'kʰ', 'kʷ', 'kʷʰ', 'l', 'm', 'n', 'p', 'pʰ', 'r', 's', 't', 'ts', 'tsʰ', 'tʰ', 'w', 'ŋ', 'β', '˦', '˧', '˧˥', '˧˩', '˨', '˩˧', 'aːĭ', 'aːŭ', 'a̞', 'ei', 'i', 'iːŭ', 'ou', 'u', 'uːĭ', 'y', 'œ̞', 'ɐ', 'ɐi', 'ɐu', 'ɔːĭ', 'ɔ̽', 'ɛ', 'ɪ̞', 'ɵ', 'ɵy', 'ʊ̟']"
Danish,"['b̥', 'b̥ʰ', 'd̥', 'd̥z̥', 'f', 'h', 'j', 'l', 'm', 'n', 'r', 's', 'w', 'ð̞', 'ŋ', 'ɕ', 'ɡ̊', 'ɡ̊ʰ', 'ʁ̞', 'ʋ', 'a', 'e', 'eu̯', 'eʌ̯', 'i', 'iu̯', 'iʌ̯', 'i̯a', 'i̯e', 'i̯o', 'i̯u', 'i̯y', 'i̯æ', 'i̯ø', 'i̯œ', 'i̯œ̞', 'i̯ɑ', 'i̯ɒ', 'i̯ɔ', 'i̯ɛ', 'i̯ʌ', 'o', 'oʌ̯', 'u', 'ui̯', 'uʌ̯', 'y', 'yu̯', 'yʌ̯', 'æ', 'æu̯', 'æʌ̯', 'ø', 'øu̯', 'øʌ̯', 'œ', 'œi̯', 'œu̯', 'œ̞', 'œ̞ʌ̯', 'ɑ', 'ɑi̯', 'ɑu̯', 'ɒ', 'ɒu̯', 'ɔ', 'ɛ', 'ɛu̯', 'ʌ', 'k', 'kʰ', 'p', 'pʰ', 't', 'tsʰ', 'ʁ', 'ə']"
Luanyjang Dinka,"['b', 'c', 'd', 'd̪', 'j', 'k', 'l', 'm', 'n', 'n̪', 'p', 'r', 't', 't̪', 'w', 'ŋ', 'ɟ', 'ɡ', 'ɰ', 'ɲ', '˥˩', '˦', '˧˥', '˨', 'a', 'aː', 'aˑ', 'a̤', 'a̤ː', 'a̤ˑ', 'e', 'eː', 'eˑ', 'e̤', 'e̤ː', 'e̤ˑ', 'i', 'iː', 'iˑ', 'i̤', 'i̤ː', 'i̤ˑ', 'o', 'oː', 'oˑ', 'o̤', 'o̤ː', 'o̤ˑ', 'ṳ', 'ṳː', 'ṳˑ', 'ɔ', 'ɔː', 'ɔˑ', 'ɔ̤', 'ɔ̤ː', 'ɔ̤ˑ', 'ɛ', 'ɛː', 'ɛˑ', 'ɛ̤', 'ɛ̤ː', 'ɛ̤ˑ']"
English (American),"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'kʰ', 'l', 'm', 'n', 'pʰ', 's', 'tʰ', 't̠ʃ', 'v', 'w', 'z', 'ð', 'ŋ', 'ɡ', 'ɹ', 'ʃ', 'ʒ', 'θ', 'aɪ', 'aʊ', 'eɪ̯', 'iɪ', 'oʊ', 'uː', 'æ', 'ɑ', 'ɔɪ', 'ə', 'ɚː', 'ɛ', 'ɪ', 'ʊ', 'ʌ']"
American English,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'kʰ', 'l', 'm', 'n', 'pʰ', 's', 'tʰ', 't̠ʃ', 'v', 'w', 'z', 'ð', 'ŋ', 'ɡ', 'ɹ', 'ʃ', 'ʒ', 'θ', 'aɪ', 'aʊ', 'ei', 'i', 'oʊ', 'u', 'æ', 'ɑ', 'ɔ', 'ɔɪ', 'ɚ', 'ɛ', 'ɪ', 'ʊ', 'ʌ']"
English (Australian),"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'pʰ', 's', 'tʰ', 't̠ʃ', 'v', 'w', 'z', 'ð', 'ŋ', 'ɡ', 'ɹ', 'ʃ', 'ʒ', 'θ', 'e', 'eː', 'iː', 'oɪ', 'oː', 'æ', 'æɔ', 'æɪ', 'ɐ', 'ɐː', 'ɑe', 'ɔ', 'əʉ', 'ɜː', 'ɪ', 'ɪə', 'ʉː', 'ʊ', 'ʊə']"
English (British),"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'kʰ', 'l', 'm', 'n', 'pʰ', 's', 'tʰ', 't̠ʃ', 'v', 'w', 'z', 'ð', 'ŋ', 'ɡ', 'ɹ', 'ʃ', 'ʒ', 'θ', '˦', 'a', 'aɪ', 'aʊ', 'eɪ', 'eː', 'iː', 'ɑː', 'ɒ', 'ɔɪ', 'ɔː', 'ə', 'ɛ', 'ɛʉ', 'ɪ', 'ʉː', 'ʊ', 'k', 'aː', 'oː', 'uː', 'øː', 'ɒː', 'ɛː']"
English (New Zealand),"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'kx', 'l', 'm', 'n', 'pʰ', 's', 'ts', 't̠ʃ', 'v', 'w', 'z', 'ð', 'ŋ', 'ɡ', 'ɹ', 'ʃ', 'ʒ', 'θ', 'e', 'eə', 'i', 'iə', 'iː', 'oe', 'oː', 'æe', 'æo', 'ɐ', 'ɐʉ', 'ɐː', 'ɑe', 'ɒ', 'ɒɯ', 'ɘ', 'ɛ', 'ɵː', 'ʉə', 'ʉː', 'ʊ']"
Estonian,"['f', 'fː', 'fˑ', 'h', 'j', 'k', 'kː', 'kˑ', 'l', 'lʲ', 'lʲː', 'lʲˑ', 'lː', 'lˑ', 'm', 'mː', 'mˑ', 'n', 'nʲ', 'nʲː', 'nʲˑ', 'nː', 'nˑ', 'p', 'pː', 'pˑ', 'r', 'rː', 'rˑ', 's', 'sʲ', 'sʲː', 'sʲˑ', 'sː', 'sˑ', 't', 'tʲ', 'tʲː', 'tʲˑ', 'tː', 'tˑ', 'v', 'ʃ', 'ʃː', 'ʃˑ', 'e', 'i', 'o', 'u', 'y', 'æ', 'ø', 'ɑ', 'ɤ', 's̪', 't̪', 'ʋ']"
georgian,"['b', 'dz', 'd̠ʒ', 'd̪', 'h', 'kʰ', 'kʼ', 'l', 'm', 'n', 'pʰ', 'pʼ', 'qʼ', 's', 'ts', 'tsʼ', 't̠ʃ', 't̠ʃʼ', 't̪ʰ', 't̪ʼ', 'v', 'x', 'z', 'ɡ', 'ɣ', 'ɾ', 'ʃ', 'ʒ', 'i', 'u', 'ɑ', 'ɔ', 'ɛ']"
Swiss German,"['f', 'f͉', 'h', 'j', 'k', 'kx', 'k͉', 'l', 'm', 'n', 'p', 'pf', 'p͉', 'r', 's', 's͉', 't', 'ts', 't̠ʃ', 't͉', 'x', 'x͉', 'ŋ', 'ʃ', 'ʃ͉', 'ʋ', 'ʔ', 'e', 'ei̯', 'eː', 'i', 'iə̯', 'iː', 'o', 'oi̯', 'ou̯', 'oː', 'u', 'uə̯', 'uː', 'y', 'yə̯', 'yː', 'æ', 'æi̯', 'æu̯', 'æː', 'ø', 'øː', 'œ', 'œː', 'ɒ', 'ɒː', 'ə', 'ɛ', 'ɛː']"
